id,dealer_name,dealer_contact,dealer_address
1,KHALSA ELE,9355334349,JAGADHRI 
2,MINI ELE,9416446299,YNR
4,SHRI RAM GHANOUR,9248588374,GHANOUR
5,GUPTA JAGADHRI,9467858827,JAGADHRI
6,METRO ELE,8168622409,SAMALKHA
7,SHANKAR ELE,7015512309,CHHACHHROULI
8,SUBAHSH FURNITURE,9896056141,YNR
10,PREET ELE,9468295004,DOSARKA
11,PARAS COMPUTER,9254667100,LADWA
12,PARKASH CITY,9355950008,YNR
13,RADHEY KHZ,8685930000,KHIZRABAD
14,SUPREME ENTERPRISES,9355840935,YNR
16,MUSKAAN ELE,7015505292,AMBALA CITY
17,VISHU TITHNAGAR,9996612736,YNR
18,FRIENDS ELE,9034210349,PANIPAT
19,SAINI BURIA,9315472612,BURIA
20,JAI MA BALA SUNDERI,8278823029,KALA AMB
21,SUPREME RADIO,9354426003,YNR
22,PARVEEN MOBILE,8930790964,JAGADHRI
23,SETHI ENTERPRISES,9355843545,AMBALACITY
24,GARG AGENCY,8708344190,ASSANDH
25,MADAN ELE,9255122124,SONIPAT
26,OM SAI ELE,9671521472,BARARA
27,JYOTI COMPUTER,9812478096,CHEEKA
28,TAKKAR ENTERPRISES,9541495243,AMBALA CITY
29,SHIV JHANSA,9588199385,JHANSA
30,BINDRA ELE,9416175130,SAHA
31,KAMAL DHAND,9896408910,DHAND
33,DEEPAK HIMSIKHA,9992544441,HIMSIKHA
34,GERA VISION J/W/S,9896108381,YNR
35,JALOTA ELE,7015240807,YNR
36,KANSAL ELE,9728529200,KALKA
37,SHRI KRISHNA ELE,9315530227,GOHANA
38,BHMIKA MODEL TOWN,7056997709,YNR
39,KOHINOOR ELE,8950444532,KUK
40,SAJJAN ELE,9050181334,KHARKHODA
41,UUJWAL ELE,9813197755,GHANOUR
42,ANKIT ELE,9416539551,GHANOUR
43,SALUJA ELE,9896091487,INDRI
44,MOONLIGHT,7206503070,KARNAL
45,PRIYANKA,9996991347,AMBALA CITY
213,SAHIL PUNDRI,1234567891,PUNDRI
47,RS TRADER,1234563297,YNR
48,SANT NAMDEV,8708621011,BILASPUR
240,COMPUTER STAR ASSANDH,1234567891,ASSANDH
51,TARSEM ELE,7988891988,AMBALA CITY
52,GOEL TV CENTER,9050147871,SONIPAT
54,RAMA ELE,8813878171,GOHANA
55,VISHAL ELE,7876969746,JAGADHRI
56,NANDINI ELE,4567893126,JAGADHRI
57,MURARAI ELE,1234567891,AMBALA CANTT
58,METRO ELE ,8168622409,SAMALKHA
60,HIMSELF,1234569871,HARYANA
62,JAIN  MULANA,9813057677,HARYANA
63,JAI AMBEY RAJOND,7015667728,HARYANA
64,VIKAS RAJOND,9896802804,RAJOND
65,JAI MA SEHZADPUR,1234566985,SEHZADPUR
66,GURUDEV NISSING,9813268518,NISSING
67,ANAND SONIPAT,9896262911,SONIPAT
68,SAINI KHARWAN,12345669852,KHARWAN
69,UV ELE,9034629439,KAITHAL
70,SAGAR YNR,9996419615,YNR
71,ARORA ELE,9315116011,AMBALA CITY
72,SUBHASH KALAYAT,9996757821,KALAYAT
73,BHARAT ELE,9802425775,ASSANDH
74,HARI OM,9991090649,SAMALKHA
